Community,Num Nodes,Transitivity,Avg Degree Centrality,Std Degree Centrality,Avg Closeness Centrality,Std Closeness Centrality
0,5627,0.1966,0.00889,0.01875,0.38795,0.04178
21,118,0.6582,0.00594,0.00412,0.34573,0.00468
35,45,0.6579,0.00499,0.00293,0.36706,0.02807
3,40,0.6577,0.00275,0.00128,0.34366,0.00475
9,33,0.7752,0.00459,0.00203,0.35969,0.01177
32,32,0.6,0.00204,0.00135,0.33195,0.03784
1,30,0.8383,0.00341,0.00103,0.35439,0.01218
38,23,0.8967,0.00312,0.00066,0.32308,0.00374
19,21,0.683,0.00207,0.00096,0.32909,0.01784
65,19,0.8924,0.00274,0.00054,0.32004,0.01099
39,17,0.6254,0.00129,0.00057,0.34825,0.014
89,15,0.8333,0.00213,0.00065,0.35925,0.00434
2,14,0.8243,0.00185,0.00079,0.33717,0.00985
40,13,0.8361,0.00224,0.00075,0.35339,0.02488
15,11,0.8333,0.00132,0.00036,0.32506,0.00098
24,10,1.0,0.0028,0.0,0.31864,0.0
4,9,0.9467,0.00118,0.00011,0.00119,9e-05
18,9,0.9296,0.00182,0.00059,0.3617,0.0298
58,9,1.0,0.00249,0.0,0.35264,0.0
67,9,1.0,0.00202,0.0,0.36482,0.0
8,9,0.9344,0.00128,0.0003,0.34844,0.0178
53,8,1.0,0.00125,0.0,0.32059,0.0
51,8,1.0,0.00125,0.0,0.33554,0.0
61,8,1.0,0.0014,0.0,0.32117,0.0
70,8,1.0,0.00163,0.00022,0.33512,0.00239
88,8,1.0,0.00171,0.0,0.32737,0.0
60,8,1.0,0.00156,0.0,0.36133,0.0
46,8,0.8208,0.00158,0.00033,0.34239,0.00192
27,8,0.931,0.00154,0.00023,0.32383,0.00435
28,7,1.0,0.00109,0.0,0.33874,0.0
20,7,0.8846,0.00133,0.00024,0.35526,0.00943
73,7,1.0,0.00138,6e-05,0.37462,0.0022
59,7,1.0,0.00093,0.0,0.00093,0.0
80,6,1.0,0.0014,0.0,0.36561,0.0
66,6,0.8667,0.00078,0.00033,0.28014,0.03887
56,6,1.0,0.00093,0.0,0.36831,0.0
91,6,1.0,0.00156,0.0,0.36769,0.0
64,5,1.0,0.00078,0.0,0.31893,0.0
17,5,0.7895,0.00072,0.00018,0.31964,0.04136
5,5,1.0,0.00093,0.0,0.34361,0.0
83,5,1.0,0.00078,0.0,0.35661,0.0
81,5,1.0,0.00112,0.00017,0.35934,0.00059
77,5,0.875,0.00081,0.00017,0.36448,6e-05
75,5,1.0,0.00093,0.0,0.33552,0.0
7,5,1.0,0.00125,0.0,0.35267,0.0
68,5,1.0,0.00115,9e-05,0.34192,1e-05
62,5,1.0,0.00078,0.0,0.33819,0.0
12,5,1.0,0.00109,0.0,0.34991,0.0
29,5,1.0,0.001,9e-05,0.3526,0.00136
13,5,1.0,0.00078,0.0,0.32971,0.0
41,5,1.0,0.00078,0.0,0.29889,0.0
44,5,1.0,0.00093,0.0,0.27625,0.0
22,4,1.0,0.0007,0.00016,0.2875,0.04719
45,4,0.75,0.00066,0.00015,0.35028,2e-05
30,4,1.0,0.00062,0.0,0.32748,0.0
36,4,1.0,0.00078,0.0,0.33419,0.0
72,4,1.0,0.00078,0.0,0.29184,0.0
82,4,1.0,0.00062,0.0,0.35659,0.0
71,4,1.0,0.00093,0.0,0.36461,0.0
84,4,1.0,0.00078,0.0,0.36448,0.0
55,4,1.0,0.00078,0.0,0.36639,0.0
6,4,1.0,0.00078,0.0,0.33874,0.0
52,4,1.0,0.00093,0.0,0.34955,0.0
49,4,1.0,0.00078,0.0,0.32423,0.0
85,3,1.0,0.00062,0.0,0.36778,0.0
86,3,1.0,0.00047,0.0,0.33815,0.0
79,3,1.0,0.00047,0.0,0.25968,0.0
42,3,1.0,0.00062,0.0,0.34481,0.0
76,3,1.0,0.00047,0.0,0.31692,0.0
43,3,1.0,0.00062,0.0,0.35465,0.0
90,3,1.0,0.00062,0.0,0.35012,0.0
31,3,1.0,0.00062,0.0,0.3598,0.0
50,3,0.0,0.00036,9e-05,0.29098,1e-05
69,3,1.0,0.00062,0.0,0.33442,0.0
25,3,1.0,0.00047,0.0,0.32967,0.0
16,3,1.0,0.00047,0.0,0.32468,0.0
57,3,1.0,0.00047,0.0,0.32534,0.0
14,3,1.0,0.00057,0.00018,0.32575,0.00185
34,3,1.0,0.00047,0.0,0.34562,0.0
48,3,1.0,0.00047,0.0,0.33867,0.0
33,3,1.0,0.00057,9e-05,0.33038,0.00346
10,3,1.0,0.00047,0.0,0.3503,0.0
63,2,0.0,0.00031,0.0,0.34993,0.0
47,2,0.0,0.00031,0.0,0.28595,0.0
74,2,0.0,0.00031,0.0,0.32466,0.0
78,2,0.0,0.00031,0.0,0.30658,0.0
11,2,0.0,0.00031,0.0,0.35028,0.0
26,2,0.0,0.00031,0.0,0.35028,0.0
87,2,0.0,0.00016,0.0,0.00016,0.0
54,2,0.0,0.00031,0.0,0.3281,0.0
23,2,0.0,0.00031,0.0,0.3232,0.0
37,2,0.0,0.00031,0.0,0.35655,0.0
